ACETYLCHOLINESTERASE,Breaks down acetylcholine
CARNITINEPALMITOYLTRANSFERASE,Fatty acid shuttle enzyme
GATECONTROLTHEORY,Spinal gating of pain
DYSEXECUTIVESYNDROME,Poor planning and set shifting
TRACTOGRAPHY,Reconstruction of fiber tracts
DIRECTPATHWAY,Facilitates movement via basal ganglia
APRAXIAOFGAIT,Frontal gait disorder
MOSSYFIBERPATHWAY,Granule cell input system
BAROREFLEXSENSITIVITY,Slope of RR change to pressure
HOMEOSTATICPLASTICITY,Stability of overall firing rates
MONOAMINEOXIDASEB,Deaminates dopamine
OTOLITHORGAN,Senses linear acceleration
CFIBERS,Slow unmyelinated pain fibers
BRAINSTEMAUDITORYEVOKED,Click stimulus brainstem response
T2HYPERINTENSITIES,White matter bright spots
HREFLEX,Monosynaptic reflex of S one
PURKINJECELLOUTPUT,Inhibitory cerebellar output
REPETITIVENERVESTIMULATION,Decrement or increment testing
AROMATICLAMINOACIDDECARBOXYLASE,Dopa decarboxylase enzyme
ALLOCHIRIA,Stimulus perceived on wrong side
VISUALEVOKEDPOTENTIAL,Pattern reversal occipital response
DEFAULTMODENETWORK,Rest state medial network
GLUTAMATEDECARBOXYLASE,Makes GABA from glutamate
PERIAQUEDUCTALGRAY,Descending pain control region
NEUROGENESIS,Birth of new neurons
MULTIBANDIMAGING,Simultaneous slice excitation
VANISHINGLEUKOENCEPHALOPATHY,Childhood ataxia with stress
ADELTAFIBERS,Fast myelinated pain fibers
CORTICOSTRIATAL,Input from cortex to striatum
PHASEFOUROVERSHOOT,BP rise after release
CHOLINEACETYLTRANSFERASE,Synthesizes acetylcholine
RINGINGARTEFACT,Truncation artifact on MRI
CRITICALPERIOD,Window of heightened plasticity
AUDITORYNETWORK,Temporal primary system
SPINORETICULARPATHWAY,Arousal related pain pathway
ORBITOFRONTALSYNDROME,Disinhibition and impulsivity
CHEMICALSHIFT,Frequency difference of fat and water
RESPIRATORYCHAINCOMPLEXONE,NADH dehydrogenase defect
HYPOMYELINATION,Globally thin myelin
PERIVENTRICULARLEUKOMALACIA,Preterm white matter injury
SACCADICINTRUSIONS,Square wave jerks on fixation
HYPERDIRECTPATHWAY,Fast cortical brake via STN
CORTICOPONTOCEREBELLAR,Cortical input to cerebellum
DOPADECARBOXYLASE,Converts L DOPA to dopamine
SUBSTANCEP,Neuropeptide in pain afferents
VENTRALATTENTIONNETWORK,Reorienting attention system
MONOAMINEOXIDASEA,Deaminates serotonin and NE
MACULAUTRICULI,Utricular sensory epithelium
SUSCEPTIBILITYWEIGHTEDIMAGING,Sensitive to iron and blood
EPIREADOUT,Single shot rapid acquisition
THERMOREGULATORYSWEATTEST,Visualizes sweat distribution
LANGUAGENETWORK,Perisylvian speech network
SENSITIZATION,Enhanced response after strong input
INDIRECTPATHWAY,Inhibits competing movement
TYROSINEHYDROXYLASE,Rate limiting for catecholamines
CEREBELLOTHALAMIC,Cerebellar output to cortex
QSART,Quantitative sweat test
NOCICEPTOR,Receptor for painful stimuli
OPIOIDRECEPTOR,Morphine like drug target
RESPIRATORYCHAINCOMPLEXTHREE,Cytochrome b complex defect
RESPIRATORYCHAINCOMPLEXFIVE,ATP synthase defect
MAGNETIZATIONTRANSFER,Exchange between free and bound protons
GAZEHOLDINGFAILURE,Nystagmus at extremes of gaze
NYSTAGMUSFASTPHASE,Defines direction of nystagmus
QUANTITATIVESENSORYTEST,Threshold testing for sensation
OXPHOSDEFECT,Oxidative phosphorylation problem
COENZYMEQDEFICIENCY,Ubiquinone shortage disorder
MITOCHONDRIALDNADEPLETION,Low mtDNA copy number
DYSMYELINATION,Abnormal myelin formation
VISUALNETWORK,Occipital primary system
SAWDENTRAINS,Mu rhythm arch like pattern
SOMATOMOTORNETWORK,Pre and postcentral system
SUBCORTICALISCHEMIA,Small vessel white matter disease
INVERSIONRECOVERY,Nulls a specific tissue signal
FRONTOPARIETALNETWORK,Executive control network
SYNAPTOGENESIS,Formation of synapses
MACULASACCULI,Saccular sensory epithelium
DORSALATTENTIONNETWORK,Top down attention system
CUPULA,Gel over vestibular hair cells
SYMPATHETICSKINRESPONSE,Palmar electrodermal change
AXONALSPHEROIDS,Swollen axons in leukodystrophy
SURALAMPLITUDE,Sensory potential size measure
ROSTRALVENTROMEDULLA,Part of descending pain system
PYRUVATEDEHYDROGENASEDEFICIENCY,Congenital lactic acidosis
MEGALENCEPHALICLEUKOENCEPHALOPATHY,Vacuolating leukodystrophy
SALIENCENETWORK,Anterior insula cingulate network
LIMBICNETWORK,Emotional processing system
PHOTICDRIVING,Occipital rhythm to flash
OLIVOCEREBELLAR,Climbing fiber pathway
AXONLOSSNEUROPATHY,Reduced amplitudes on NCS
RESPIRATORYCHAINCOMPLEXFOUR,Cytochrome oxidase defect
SOMATOSENSORYEVOKEDPOTENTIAL,Median nerve cortical response
AXONGUIDANCE,Growth cone pathfinding
PARALLELIMAGING,Multiple coil speed up
MITOCHONDRIALENCEPHALOMYOPATHY,Mitochondrial brain muscle disease
SPINOMESENCEPHALICPATHWAY,To periaqueductal gray
CORTICOSUBTHALAMIC,Direct cortical to STN
MISMATCHNEGATIVITY,Auditory change detection potential
DIFFUSIONTENSORIMAGING,Maps white matter directions
EVENTRELATEDSYNCHRONIZATION,ERD ERS phenomenon
NEURULATION,Formation of neural tube
ADULTPOLYGLUCOSANBODYDISEASE,GBE1 deficiency disorder
CATECHOLOMETHYLTRANSFERASE,Degrades catecholamines
HEADIMPULSETEST,Assesses vestibulo ocular reflex
SUDOMOTORTESTING,Sweat function assessment
HEARTRATEVARIABILITY,Beat to beat interval variability
HABITUATION,Reduced response to repeated stimulus
TRYPTOPHANHYDROXYLASE,Rate limiting for serotonin
METAPLASTICITY,Plasticity of plasticity
HEMISPATIALNEGLECT,Ignores one hemispace
UTILIZATIONBEHAVIOR,Compulsive object handling
LEUKOARAIOSIS,Age related white matter change
SEMICIRCULARCANALS,Sense angular acceleration
P300WAVE,Oddball event related potential
OLFACTORYBULBATROPHY,atrophy involving olfactorybulb
OLFACTORYBULBLESION,lesion involving olfactorybulb
OLFACTORYBULBINFARCT,infarct involving olfactorybulb
OLFACTORYBULBHEMORRHAGE,hemorrhage involving olfactorybulb
OLFACTORYBULBEDEMA,edema involving olfactorybulb
OLFACTORYBULBGLIOSIS,gliosis involving olfactorybulb
OLFACTORYBULBDEMYELINATION,demyelination involving olfactorybulb
OLFACTORYBULBMALFORMATION,malformation involving olfactorybulb
OLFACTORYBULBDYSFUNCTION,dysfunction involving olfactorybulb
OLFACTORYBULBSCARRING,scarring involving olfactorybulb
OLFACTORYBULBDEGENERATION,degeneration involving olfactorybulb
OLFACTORYBULBCALCIFICATION,calcification involving olfactorybulb
OLFACTORYTRACTATROPHY,atrophy involving olfactorytract
OLFACTORYTRACTLESION,lesion involving olfactorytract
OLFACTORYTRACTINFARCT,infarct involving olfactorytract
OLFACTORYTRACTHEMORRHAGE,hemorrhage involving olfactorytract
OLFACTORYTRACTEDEMA,edema involving olfactorytract
OLFACTORYTRACTGLIOSIS,gliosis involving olfactorytract
OLFACTORYTRACTDEMYELINATION,demyelination involving olfactorytract
OLFACTORYTRACTMALFORMATION,malformation involving olfactorytract
OLFACTORYTRACTDYSFUNCTION,dysfunction involving olfactorytract
OLFACTORYTRACTSCARRING,scarring involving olfactorytract
OLFACTORYTRACTDEGENERATION,degeneration involving olfactorytract
OLFACTORYTRACTCALCIFICATION,calcification involving olfactorytract
OPTICCHIASMATROPHY,atrophy involving opticchiasm
OPTICCHIASMLESION,lesion involving opticchiasm
OPTICCHIASMINFARCT,infarct involving opticchiasm
OPTICCHIASMHEMORRHAGE,hemorrhage involving opticchiasm
OPTICCHIASMEDEMA,edema involving opticchiasm
OPTICCHIASMGLIOSIS,gliosis involving opticchiasm
OPTICCHIASMDEMYELINATION,demyelination involving opticchiasm
OPTICCHIASMMALFORMATION,malformation involving opticchiasm
OPTICCHIASMDYSFUNCTION,dysfunction involving opticchiasm
OPTICCHIASMSCARRING,scarring involving opticchiasm
OPTICCHIASMDEGENERATION,degeneration involving opticchiasm
OPTICCHIASMCALCIFICATION,calcification involving opticchiasm
OPTICRADIATIONSATROPHY,atrophy involving opticradiations
OPTICRADIATIONSLESION,lesion involving opticradiations
OPTICRADIATIONSINFARCT,infarct involving opticradiations
OPTICRADIATIONSHEMORRHAGE,hemorrhage involving opticradiations
OPTICRADIATIONSEDEMA,edema involving opticradiations
OPTICRADIATIONSGLIOSIS,gliosis involving opticradiations
OPTICRADIATIONSDEMYELINATION,demyelination involving opticradiations
OPTICRADIATIONSMALFORMATION,malformation involving opticradiations
OPTICRADIATIONSDYSFUNCTION,dysfunction involving opticradiations
OPTICRADIATIONSSCARRING,scarring involving opticradiations
OPTICRADIATIONSDEGENERATION,degeneration involving opticradiations
OPTICRADIATIONSCALCIFICATION,calcification involving opticradiations
PITUITARYGLANDATROPHY,atrophy involving pituitarygland
PITUITARYGLANDLESION,lesion involving pituitarygland
PITUITARYGLANDINFARCT,infarct involving pituitarygland
PITUITARYGLANDHEMORRHAGE,hemorrhage involving pituitarygland
PITUITARYGLANDEDEMA,edema involving pituitarygland
PITUITARYGLANDGLIOSIS,gliosis involving pituitarygland
PITUITARYGLANDDEMYELINATION,demyelination involving pituitarygland
PITUITARYGLANDMALFORMATION,malformation involving pituitarygland
PITUITARYGLANDDYSFUNCTION,dysfunction involving pituitarygland
PITUITARYGLANDSCARRING,scarring involving pituitarygland
PITUITARYGLANDDEGENERATION,degeneration involving pituitarygland
PITUITARYGLANDCALCIFICATION,calcification involving pituitarygland
PINEALGLANDATROPHY,atrophy involving pinealgland
PINEALGLANDLESION,lesion involving pinealgland
PINEALGLANDINFARCT,infarct involving pinealgland
PINEALGLANDHEMORRHAGE,hemorrhage involving pinealgland
PINEALGLANDEDEMA,edema involving pinealgland
PINEALGLANDGLIOSIS,gliosis involving pinealgland
PINEALGLANDDEMYELINATION,demyelination involving pinealgland
PINEALGLANDMALFORMATION,malformation involving pinealgland
PINEALGLANDDYSFUNCTION,dysfunction involving pinealgland
PINEALGLANDSCARRING,scarring involving pinealgland
PINEALGLANDDEGENERATION,degeneration involving pinealgland
PINEALGLANDCALCIFICATION,calcification involving pinealgland
CORPUSCALLOSUMATROPHY,atrophy involving corpuscallosum
CORPUSCALLOSUMLESION,lesion involving corpuscallosum
CORPUSCALLOSUMINFARCT,infarct involving corpuscallosum
CORPUSCALLOSUMHEMORRHAGE,hemorrhage involving corpuscallosum
CORPUSCALLOSUMEDEMA,edema involving corpuscallosum
CORPUSCALLOSUMGLIOSIS,gliosis involving corpuscallosum
CORPUSCALLOSUMDEMYELINATION,demyelination involving corpuscallosum
CORPUSCALLOSUMMALFORMATION,malformation involving corpuscallosum
CORPUSCALLOSUMDYSFUNCTION,dysfunction involving corpuscallosum
CORPUSCALLOSUMSCARRING,scarring involving corpuscallosum
CORPUSCALLOSUMDEGENERATION,degeneration involving corpuscallosum
CORPUSCALLOSUMCALCIFICATION,calcification involving corpuscallosum
FORNIXATROPHY,atrophy involving fornix
FORNIXLESION,lesion involving fornix
FORNIXINFARCT,infarct involving fornix
FORNIXHEMORRHAGE,hemorrhage involving fornix
FORNIXEDEMA,edema involving fornix
FORNIXGLIOSIS,gliosis involving fornix
FORNIXDEMYELINATION,demyelination involving fornix
FORNIXMALFORMATION,malformation involving fornix
FORNIXDYSFUNCTION,dysfunction involving fornix
FORNIXSCARRING,scarring involving fornix
FORNIXDEGENERATION,degeneration involving fornix
FORNIXCALCIFICATION,calcification involving fornix
SEPTUMPELLUCIDUMATROPHY,atrophy involving septumpellucidum
SEPTUMPELLUCIDUMLESION,lesion involving septumpellucidum
SEPTUMPELLUCIDUMINFARCT,infarct involving septumpellucidum
SEPTUMPELLUCIDUMHEMORRHAGE,hemorrhage involving septumpellucidum
SEPTUMPELLUCIDUMEDEMA,edema involving septumpellucidum
SEPTUMPELLUCIDUMGLIOSIS,gliosis involving septumpellucidum
SEPTUMPELLUCIDUMDEMYELINATION,demyelination involving septumpellucidum
SEPTUMPELLUCIDUMMALFORMATION,malformation involving septumpellucidum
SEPTUMPELLUCIDUMDYSFUNCTION,dysfunction involving septumpellucidum
SEPTUMPELLUCIDUMSCARRING,scarring involving septumpellucidum
SEPTUMPELLUCIDUMDEGENERATION,degeneration involving septumpellucidum
SEPTUMPELLUCIDUMCALCIFICATION,calcification involving septumpellucidum
AMYGDALAATROPHY,atrophy involving amygdala
AMYGDALALESION,lesion involving amygdala
AMYGDALAINFARCT,infarct involving amygdala
AMYGDALAHEMORRHAGE,hemorrhage involving amygdala
AMYGDALAEDEMA,edema involving amygdala
AMYGDALAGLIOSIS,gliosis involving amygdala
AMYGDALADEMYELINATION,demyelination involving amygdala
AMYGDALAMALFORMATION,malformation involving amygdala
AMYGDALADYSFUNCTION,dysfunction involving amygdala
AMYGDALASCARRING,scarring involving amygdala
AMYGDALADEGENERATION,degeneration involving amygdala
AMYGDALACALCIFICATION,calcification involving amygdala
HIPPOCAMPUSATROPHY,atrophy involving hippocampus
HIPPOCAMPUSLESION,lesion involving hippocampus
HIPPOCAMPUSINFARCT,infarct involving hippocampus
HIPPOCAMPUSHEMORRHAGE,hemorrhage involving hippocampus
HIPPOCAMPUSEDEMA,edema involving hippocampus
HIPPOCAMPUSGLIOSIS,gliosis involving hippocampus
HIPPOCAMPUSDEMYELINATION,demyelination involving hippocampus
HIPPOCAMPUSMALFORMATION,malformation involving hippocampus
HIPPOCAMPUSDYSFUNCTION,dysfunction involving hippocampus
HIPPOCAMPUSSCARRING,scarring involving hippocampus
HIPPOCAMPUSDEGENERATION,degeneration involving hippocampus
HIPPOCAMPUSCALCIFICATION,calcification involving hippocampus
THALAMUSATROPHY,atrophy involving thalamus
THALAMUSLESION,lesion involving thalamus
THALAMUSINFARCT,infarct involving thalamus
THALAMUSHEMORRHAGE,hemorrhage involving thalamus
THALAMUSEDEMA,edema involving thalamus
THALAMUSGLIOSIS,gliosis involving thalamus
THALAMUSDEMYELINATION,demyelination involving thalamus
THALAMUSMALFORMATION,malformation involving thalamus
THALAMUSDYSFUNCTION,dysfunction involving thalamus
THALAMUSSCARRING,scarring involving thalamus
THALAMUSDEGENERATION,degeneration involving thalamus
THALAMUSCALCIFICATION,calcification involving thalamus
HYPOTHALAMUSATROPHY,atrophy involving hypothalamus
HYPOTHALAMUSLESION,lesion involving hypothalamus
HYPOTHALAMUSINFARCT,infarct involving hypothalamus
HYPOTHALAMUSHEMORRHAGE,hemorrhage involving hypothalamus
HYPOTHALAMUSEDEMA,edema involving hypothalamus
HYPOTHALAMUSGLIOSIS,gliosis involving hypothalamus
HYPOTHALAMUSDEMYELINATION,demyelination involving hypothalamus
HYPOTHALAMUSMALFORMATION,malformation involving hypothalamus
HYPOTHALAMUSDYSFUNCTION,dysfunction involving hypothalamus
HYPOTHALAMUSSCARRING,scarring involving hypothalamus
HYPOTHALAMUSDEGENERATION,degeneration involving hypothalamus
HYPOTHALAMUSCALCIFICATION,calcification involving hypothalamus
SUBTHALAMUSATROPHY,atrophy involving subthalamus
SUBTHALAMUSLESION,lesion involving subthalamus
SUBTHALAMUSINFARCT,infarct involving subthalamus
SUBTHALAMUSHEMORRHAGE,hemorrhage involving subthalamus
SUBTHALAMUSEDEMA,edema involving subthalamus
SUBTHALAMUSGLIOSIS,gliosis involving subthalamus
SUBTHALAMUSDEMYELINATION,demyelination involving subthalamus
SUBTHALAMUSMALFORMATION,malformation involving subthalamus
SUBTHALAMUSDYSFUNCTION,dysfunction involving subthalamus
SUBTHALAMUSSCARRING,scarring involving subthalamus
SUBTHALAMUSDEGENERATION,degeneration involving subthalamus
SUBTHALAMUSCALCIFICATION,calcification involving subthalamus
SUBSTANTIANIGRAATROPHY,atrophy involving substantianigra
SUBSTANTIANIGRALESION,lesion involving substantianigra
SUBSTANTIANIGRAINFARCT,infarct involving substantianigra
SUBSTANTIANIGRAHEMORRHAGE,hemorrhage involving substantianigra
SUBSTANTIANIGRAEDEMA,edema involving substantianigra
SUBSTANTIANIGRAGLIOSIS,gliosis involving substantianigra
SUBSTANTIANIGRADEMYELINATION,demyelination involving substantianigra
SUBSTANTIANIGRAMALFORMATION,malformation involving substantianigra
SUBSTANTIANIGRADYSFUNCTION,dysfunction involving substantianigra
SUBSTANTIANIGRASCARRING,scarring involving substantianigra
SUBSTANTIANIGRADEGENERATION,degeneration involving substantianigra
SUBSTANTIANIGRACALCIFICATION,calcification involving substantianigra
REDNUCLEUSATROPHY,atrophy involving rednucleus
REDNUCLEUSLESION,lesion involving rednucleus
REDNUCLEUSINFARCT,infarct involving rednucleus
REDNUCLEUSHEMORRHAGE,hemorrhage involving rednucleus
REDNUCLEUSEDEMA,edema involving rednucleus
REDNUCLEUSGLIOSIS,gliosis involving rednucleus
REDNUCLEUSDEMYELINATION,demyelination involving rednucleus
REDNUCLEUSMALFORMATION,malformation involving rednucleus
REDNUCLEUSDYSFUNCTION,dysfunction involving rednucleus
REDNUCLEUSSCARRING,scarring involving rednucleus
REDNUCLEUSDEGENERATION,degeneration involving rednucleus
REDNUCLEUSCALCIFICATION,calcification involving rednucleus
PAGATROPHY,atrophy involving pag
PAGLESION,lesion involving pag
PAGINFARCT,infarct involving pag
PAGHEMORRHAGE,hemorrhage involving pag
PAGEDEMA,edema involving pag
PAGGLIOSIS,gliosis involving pag
PAGDEMYELINATION,demyelination involving pag
PAGMALFORMATION,malformation involving pag
PAGDYSFUNCTION,dysfunction involving pag
PAGSCARRING,scarring involving pag
PAGDEGENERATION,degeneration involving pag
PAGCALCIFICATION,calcification involving pag
MIDBRAINATROPHY,atrophy involving midbrain
MIDBRAINLESION,lesion involving midbrain
MIDBRAININFARCT,infarct involving midbrain
MIDBRAINHEMORRHAGE,hemorrhage involving midbrain
MIDBRAINEDEMA,edema involving midbrain
MIDBRAINGLIOSIS,gliosis involving midbrain
MIDBRAINDEMYELINATION,demyelination involving midbrain
MIDBRAINMALFORMATION,malformation involving midbrain
MIDBRAINDYSFUNCTION,dysfunction involving midbrain
MIDBRAINSCARRING,scarring involving midbrain
MIDBRAINDEGENERATION,degeneration involving midbrain
MIDBRAINCALCIFICATION,calcification involving midbrain
PONSATROPHY,atrophy involving pons
PONSLESION,lesion involving pons
PONSINFARCT,infarct involving pons
PONSHEMORRHAGE,hemorrhage involving pons
PONSEDEMA,edema involving pons
PONSGLIOSIS,gliosis involving pons
PONSDEMYELINATION,demyelination involving pons
PONSMALFORMATION,malformation involving pons
PONSDYSFUNCTION,dysfunction involving pons
PONSSCARRING,scarring involving pons
PONSDEGENERATION,degeneration involving pons
PONSCALCIFICATION,calcification involving pons
MEDULLAATROPHY,atrophy involving medulla
MEDULLALESION,lesion involving medulla
MEDULLAINFARCT,infarct involving medulla
MEDULLAHEMORRHAGE,hemorrhage involving medulla
MEDULLAEDEMA,edema involving medulla
MEDULLAGLIOSIS,gliosis involving medulla
MEDULLADEMYELINATION,demyelination involving medulla
MEDULLAMALFORMATION,malformation involving medulla
MEDULLADYSFUNCTION,dysfunction involving medulla
MEDULLASCARRING,scarring involving medulla
MEDULLADEGENERATION,degeneration involving medulla
MEDULLACALCIFICATION,calcification involving medulla
CEREBELLUMATROPHY,atrophy involving cerebellum
CEREBELLUMLESION,lesion involving cerebellum
CEREBELLUMINFARCT,infarct involving cerebellum
CEREBELLUMHEMORRHAGE,hemorrhage involving cerebellum
CEREBELLUMEDEMA,edema involving cerebellum
CEREBELLUMGLIOSIS,gliosis involving cerebellum
CEREBELLUMDEMYELINATION,demyelination involving cerebellum
CEREBELLUMMALFORMATION,malformation involving cerebellum
CEREBELLUMDYSFUNCTION,dysfunction involving cerebellum
CEREBELLUMSCARRING,scarring involving cerebellum
CEREBELLUMDEGENERATION,degeneration involving cerebellum
CEREBELLUMCALCIFICATION,calcification involving cerebellum
INSULACORTEXATROPHY,atrophy involving insulacortex
INSULACORTEXLESION,lesion involving insulacortex
INSULACORTEXINFARCT,infarct involving insulacortex
INSULACORTEXHEMORRHAGE,hemorrhage involving insulacortex
INSULACORTEXEDEMA,edema involving insulacortex
INSULACORTEXGLIOSIS,gliosis involving insulacortex
INSULACORTEXDEMYELINATION,demyelination involving insulacortex
INSULACORTEXMALFORMATION,malformation involving insulacortex
INSULACORTEXDYSFUNCTION,dysfunction involving insulacortex
INSULACORTEXSCARRING,scarring involving insulacortex
INSULACORTEXDEGENERATION,degeneration involving insulacortex
INSULACORTEXCALCIFICATION,calcification involving insulacortex
PRECENTRALGYRUSATROPHY,atrophy involving precentralgyrus
PRECENTRALGYRUSLESION,lesion involving precentralgyrus
PRECENTRALGYRUSINFARCT,infarct involving precentralgyrus
PRECENTRALGYRUSHEMORRHAGE,hemorrhage involving precentralgyrus
PRECENTRALGYRUSEDEMA,edema involving precentralgyrus
PRECENTRALGYRUSGLIOSIS,gliosis involving precentralgyrus
PRECENTRALGYRUSDEMYELINATION,demyelination involving precentralgyrus
PRECENTRALGYRUSMALFORMATION,malformation involving precentralgyrus
PRECENTRALGYRUSDYSFUNCTION,dysfunction involving precentralgyrus
PRECENTRALGYRUSSCARRING,scarring involving precentralgyrus
PRECENTRALGYRUSDEGENERATION,degeneration involving precentralgyrus
PRECENTRALGYRUSCALCIFICATION,calcification involving precentralgyrus
POSTCENTRALGYRUSATROPHY,atrophy involving postcentralgyrus
POSTCENTRALGYRUSLESION,lesion involving postcentralgyrus
POSTCENTRALGYRUSINFARCT,infarct involving postcentralgyrus
POSTCENTRALGYRUSHEMORRHAGE,hemorrhage involving postcentralgyrus
POSTCENTRALGYRUSEDEMA,edema involving postcentralgyrus
POSTCENTRALGYRUSGLIOSIS,gliosis involving postcentralgyrus
POSTCENTRALGYRUSDEMYELINATION,demyelination involving postcentralgyrus
POSTCENTRALGYRUSMALFORMATION,malformation involving postcentralgyrus
POSTCENTRALGYRUSDYSFUNCTION,dysfunction involving postcentralgyrus
POSTCENTRALGYRUSSCARRING,scarring involving postcentralgyrus
POSTCENTRALGYRUSDEGENERATION,degeneration involving postcentralgyrus
POSTCENTRALGYRUSCALCIFICATION,calcification involving postcentralgyrus
ANGULARGYRUSATROPHY,atrophy involving angulargyrus
ANGULARGYRUSLESION,lesion involving angulargyrus
ANGULARGYRUSINFARCT,infarct involving angulargyrus
ANGULARGYRUSHEMORRHAGE,hemorrhage involving angulargyrus
ANGULARGYRUSEDEMA,edema involving angulargyrus
ANGULARGYRUSGLIOSIS,gliosis involving angulargyrus
ANGULARGYRUSDEMYELINATION,demyelination involving angulargyrus
ANGULARGYRUSMALFORMATION,malformation involving angulargyrus
ANGULARGYRUSDYSFUNCTION,dysfunction involving angulargyrus
ANGULARGYRUSSCARRING,scarring involving angulargyrus
ANGULARGYRUSDEGENERATION,degeneration involving angulargyrus
ANGULARGYRUSCALCIFICATION,calcification involving angulargyrus
SUPRAMARGINALGYRUSATROPHY,atrophy involving supramarginalgyrus
SUPRAMARGINALGYRUSLESION,lesion involving supramarginalgyrus
SUPRAMARGINALGYRUSINFARCT,infarct involving supramarginalgyrus
SUPRAMARGINALGYRUSHEMORRHAGE,hemorrhage involving supramarginalgyrus
SUPRAMARGINALGYRUSEDEMA,edema involving supramarginalgyrus
SUPRAMARGINALGYRUSGLIOSIS,gliosis involving supramarginalgyrus
SUPRAMARGINALGYRUSDEMYELINATION,demyelination involving supramarginalgyrus
SUPRAMARGINALGYRUSMALFORMATION,malformation involving supramarginalgyrus
SUPRAMARGINALGYRUSDYSFUNCTION,dysfunction involving supramarginalgyrus
SUPRAMARGINALGYRUSSCARRING,scarring involving supramarginalgyrus
SUPRAMARGINALGYRUSDEGENERATION,degeneration involving supramarginalgyrus
SUPRAMARGINALGYRUSCALCIFICATION,calcification involving supramarginalgyrus
LINGUALGYRUSATROPHY,atrophy involving lingualgyrus
LINGUALGYRUSLESION,lesion involving lingualgyrus
LINGUALGYRUSINFARCT,infarct involving lingualgyrus
LINGUALGYRUSHEMORRHAGE,hemorrhage involving lingualgyrus
LINGUALGYRUSEDEMA,edema involving lingualgyrus
LINGUALGYRUSGLIOSIS,gliosis involving lingualgyrus
LINGUALGYRUSDEMYELINATION,demyelination involving lingualgyrus
LINGUALGYRUSMALFORMATION,malformation involving lingualgyrus
LINGUALGYRUSDYSFUNCTION,dysfunction involving lingualgyrus
LINGUALGYRUSSCARRING,scarring involving lingualgyrus
LINGUALGYRUSDEGENERATION,degeneration involving lingualgyrus
LINGUALGYRUSCALCIFICATION,calcification involving lingualgyrus
FUSIFORMGYRUSATROPHY,atrophy involving fusiformgyrus
FUSIFORMGYRUSLESION,lesion involving fusiformgyrus
FUSIFORMGYRUSINFARCT,infarct involving fusiformgyrus
FUSIFORMGYRUSHEMORRHAGE,hemorrhage involving fusiformgyrus
FUSIFORMGYRUSEDEMA,edema involving fusiformgyrus
FUSIFORMGYRUSGLIOSIS,gliosis involving fusiformgyrus
FUSIFORMGYRUSDEMYELINATION,demyelination involving fusiformgyrus
FUSIFORMGYRUSMALFORMATION,malformation involving fusiformgyrus
FUSIFORMGYRUSDYSFUNCTION,dysfunction involving fusiformgyrus
FUSIFORMGYRUSSCARRING,scarring involving fusiformgyrus
FUSIFORMGYRUSDEGENERATION,degeneration involving fusiformgyrus
FUSIFORMGYRUSCALCIFICATION,calcification involving fusiformgyrus
CUNEUSATROPHY,atrophy involving cuneus
CUNEUSLESION,lesion involving cuneus
CUNEUSINFARCT,infarct involving cuneus
CUNEUSHEMORRHAGE,hemorrhage involving cuneus
CUNEUSEDEMA,edema involving cuneus
CUNEUSGLIOSIS,gliosis involving cuneus
CUNEUSDEMYELINATION,demyelination involving cuneus
CUNEUSMALFORMATION,malformation involving cuneus
CUNEUSDYSFUNCTION,dysfunction involving cuneus
CUNEUSSCARRING,scarring involving cuneus
CUNEUSDEGENERATION,degeneration involving cuneus
CUNEUSCALCIFICATION,calcification involving cuneus
PRECUNEUSATROPHY,atrophy involving precuneus
PRECUNEUSLESION,lesion involving precuneus
PRECUNEUSINFARCT,infarct involving precuneus
PRECUNEUSHEMORRHAGE,hemorrhage involving precuneus
PRECUNEUSEDEMA,edema involving precuneus
PRECUNEUSGLIOSIS,gliosis involving precuneus
PRECUNEUSDEMYELINATION,demyelination involving precuneus
PRECUNEUSMALFORMATION,malformation involving precuneus
PRECUNEUSDYSFUNCTION,dysfunction involving precuneus
PRECUNEUSSCARRING,scarring involving precuneus
PRECUNEUSDEGENERATION,degeneration involving precuneus
PRECUNEUSCALCIFICATION,calcification involving precuneus
NEUROTRANSMITTER,Chemical messenger in synapse
NEUROMODULATOR,Alters synaptic efficacy
SYNAPTICPLASTICITY,Change in synaptic strength
HOMEOSTASIS,Stable internal state maintenance
NEUROINFLAMMATION,Immune activation in nervous system
MICROGLIOSIS,Activated microglia proliferation
ASTROCYTOSIS,Reactive astrocyte change
GLUTAMATEXCITOTOXICITY,Calcium mediated neuronal injury
CALCIUMSPARK,Local intracellular calcium rise
SYNAPTICTAGGING,Marks synapses for consolidation
LTPINDUCTION,Onset of long term potentiation
LTDINDUCTION,Onset of long term depression
NEURALOSCILLATION,Rhythmic brain activity
GAMMABAND,High frequency cortical rhythm
BETABAND,Fast sensorimotor rhythm
THETABAND,Drowsy or memory rhythm
DELTAWAVES,Slow sleep rhythm
ALPHAWAVES,Posterior dominant rhythm
MURHYTHM,Central arch shaped rhythm
KCOMPLEXES,N2 sleep waveform
SLEEPSPINDLES,12 to 15 Hz bursts in N2
HYPERSYNCHRONY,Highly coherent EEG activity
EPILEPTIFORMDISCHARGE,Spike or sharp wave pattern
INTERICTALSPIKE,Between seizures transient
ICTALONSET,Beginning of seizure activity
POSTICTALSTATE,Period after a seizure
